interest_level,bathrooms,bedrooms,latitude,longitude,balcony,cats.allowed,common.outdoor.space,dining.room,dishwasher,dogs.allowed,doorman,elevator,exclusive,fireplace,fitness.center,furnished,garage,garden.patio,hardwood,high.ceilings,high.speed.internet,laundry.in.building,laundry.in.unit,laundry.room,live.in.super,loft,lowrise,new.construction,no.fee,outdoor.space,parking.space,pre.war,private.outdoor.space,reduced.fee,renovated,roof.deck,simplex,swimming.pool,terrace,0,1,2,price
1,1.0,2,40.7067,-74.0072,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8044763673965379,-0.10243142701534688,1.123467058471431,2600
2,1.0,0,40.7482,-73.9749,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,-0.8640148976051438,-0.12606095572467055,2.3028320391257595,2500
0,1.0,0,40.7679,-73.9527,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8405793656067708,0.06893335375755215,-0.46592089504069595,1875
0,1.0,1,40.7282,-73.9826,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.7883188462986728,0.04203677146644424,-0.5485849495972941,2895
2,1.0,3,40.6403,-74.0185,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8920547315792542,0.09593924708856026,-1.4700989661353532,2200
1,2.0,3,40.7436,-73.9727,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,2.347762405393109,-0.10292623135138532,1.652516221194487,4500
1,1.0,3,40.7166,-74.0049,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1.9222640007867249,-0.0970459219234532,1.3941030773039826,4100
0,1.0,2,40.7174,-73.9617,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03293225161916497,0.0751468046774366,-0.973570674504312,5400
1,1.0,1,40.6842,-73.9143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.7011590646282965,0.06833223753825196,-0.41451010650890213,1700
2,1.0,2,40.726,-73.9892,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257337199329656,0.021738212917214377,-0.5616066401475849,2550
2,1.0,2,40.7328,-74.0089,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10147888508672366,-1.1088780186701186e-05,-0.5260915603876932,3350
2,2.0,2,40.7454,-73.9776,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1.1754989413224917,-0.10506903360154882,1.1581950096543934,5375
2,1.0,0,40.779,-73.9523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8654893701138413,0.04155870161314419,-0.6145688335234564,1700
1,1.0,2,40.7318,-74.0044,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.267268003570511,0.004196436224983166,-0.5717795603090404,3995
0,1.0,0,40.7587,-73.9838,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2429768867385698,-0.10037031347918503,1.390234499998338,2100
0,1.0,1,40.7075,-74.0059,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.20606974306565232,-0.09093240635711636,1.30581596873929,3250
1,1.0,1,40.7666,-73.9241,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.783380676741692,0.04626583878940795,-0.18817230288396547,2095
0,3.0,3,40.7796,-73.9528,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.2929666182897797,-0.05805274540373908,1.2078672501628656,12000
1,1.0,0,40.7441,-73.9964,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3797406232879885,-0.056971853431765834,1.238596926230348,2225
2,1.0,1,40.7339,-73.9765,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5407760869047079,-0.0017514467939040443,0.5202453690239676,3744
1,1.0,3,40.6382,-73.9573,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2183975474016893,0.08863776070939959,-0.4016528003837813,2400
0,1.5,2,40.7751,-73.9787,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.4856920128561509,-0.005543535218728063,-0.37603972367756944,4075
2,1.0,3,40.7542,-73.9724,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6163721847769694,-0.07206060020959648,0.4549326644375575,3600
0,1.0,0,40.7469,-73.9802,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.5863625979322293,-0.0011574750553444387,0.5697501989694996,2795
0,1.0,2,40.6742,-73.9759,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.015281879917051188,0.10884430676848489,-1.1371819450196519,2850
0,1.0,1,40.7931,-73.9698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9481177779596005,0.03288556645770632,-0.9567086932795181,2395
1,1.0,2,40.7547,-73.981,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.015671785176749362,0.07439441583231529,-1.1395339333084933,2295
0,1.0,2,40.7203,-73.9885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709015794589107,0.026884589617052475,-1.0095593078118303,3500
0,1.0,1,40.7394,-73.9811,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.39168689455225597,-0.040163841487415725,0.6341183957086602,3495
0,2.0,5,40.7319,-73.9832,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.49499601852221,-0.008002968281537376,-0.8062876401232404,7794
0,1.0,2,40.7447,-73.9782,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6878833397439085,-0.0761723132997926,0.7086968345158517,2895
1,1.0,0,40.7798,-73.9503,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.673259867509041,0.0335870838587659,0.110726839701574,2300
1,1.0,2,40.7549,-73.9962,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0.7669012994130686,-0.06969046614353926,0.5585280559226949,3126
0,1.0,2,40.7548,-73.9944,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.9335318931145654,-0.13555152148989458,1.5486386981824931,3450
0,1.0,2,40.7088,-74.0059,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38461306802823503,-0.04533216377155245,0.04303252734160213,2450
0,1.0,1,40.7612,-73.9978,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0.0963898897183641,-0.12753601724430375,1.9128344715074264,3300
0,2.0,3,40.7668,-73.9841,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.3509636079376954,0.03496472151987897,-0.379829931136214,10500
1,1.0,2,40.7792,-73.9512,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2325124225983471,0.013671493349602515,-0.709439056810298,3199
2,2.0,2,40.7465,-74.0028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4430652973265007,0.004052135809160961,-0.841250680972349,4600
0,1.0,2,40.7674,-73.9838,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.34047561152291445,-0.03650964990838041,0.11395619415533065,3400
1,1.0,1,40.7841,-73.9487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-0.3438610168629208,-0.06482778890891708,0.5329244000592096,2700
2,1.0,0,40.7139,-73.9378,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.840235389485815,0.1026826328712141,-0.46376003831244744,1650
0,3.0,3,40.7209,-73.9992,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2.1026311902381947,-0.042089469309117326,-0.012890511301406851,10500
2,2.0,2,40.7675,-73.9922,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.49918261601552805,-0.009627091283229272,-0.08488463008155558,5560
0,2.0,4,40.8376,-73.9418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.131600844578283,0.055132346953559085,-1.6784212223776027,3895
2,1.0,0,40.7896,-74.0134,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.4106047309536411,-0.0929357710445321,0.8140052262215925,1695
1,1.0,3,40.7808,-73.9168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8572388265119469,0.1159952355761157,-1.6077151648696806,2750
0,1.0,2,40.8266,-73.9398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08412080378675706,0.03710650362353398,-1.0197330162233393,1900
1,1.0,2,40.7715,-73.949,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3673038702112458,-0.00804014040423104,-0.4504201217634834,2625
2,1.0,2,40.8821,-73.8986,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08253782489638622,0.04909332031292465,-0.7077560916859124,1850
1,1.0,0,40.6983,-73.9929,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.572354021605699,-0.024552211271826614,-0.05543545222313594,1995
1,1.0,0,40.7775,-73.9481,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.7444113524055938,0.02532561238815935,-0.2533712368807936,1925
0,1.0,1,40.7716,-73.9506,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.2778974187472834,-0.042366172868366206,0.8862707551619916,3225
2,1.0,0,40.751,-73.9703,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3289045025362887,-0.07723156336993539,1.097282296592942,2300
0,1.0,0,40.7401,-73.9887,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1.6180285617272323,-0.031986945936799474,0.3274892837845936,3395
1,2.0,4,40.7319,-73.9832,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2.7508266714052905,-0.018852647475465677,0.36221196532975747,4700
0,1.0,1,40.6815,-74.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9579109808799693,0.047316332925417676,-0.9460964856886411,2650
0,1.0,0,40.7069,-74.0113,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,-1.4634560003262687,-0.0563597611841763,0.9538149756208351,2960
0,1.0,2,40.7411,-73.9759,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.20789410203997039,0.006916851776048098,-0.12958945452301263,3600
1,2.0,3,40.7905,-73.9688,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.0462459361056538,-0.07873145597207265,0.9673201443987905,5700
1,1.0,3,40.7061,-74.0114,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4581953462867507,-0.011706905096228664,0.387544073405585,4095
2,1.0,3,40.7003,-73.8885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8700853348066614,0.1838433537510399,-1.5306600564419577,2000
1,2.0,4,40.7612,-73.9978,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3.102892730393157,-0.09355625827832839,0.9754857333130375,6100
2,1.0,2,40.7223,-73.9966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.46484175116201765,-0.03510297384894458,-0.3139280818735238,3995
2,1.0,1,40.8305,-73.9481,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.591716569875311,-0.03181237927827887,-0.013554348009672222,1649
1,1.0,2,40.7681,-73.9544,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23253815856805843,0.014803734706016874,-0.7093130288607064,2700
1,1.0,0,40.7058,-74.0086,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.5081652633366964,-0.052295268508873935,0.9107447330931718,2367
0,2.0,2,40.7762,-73.9592,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.6071851751615441,0.020008141073680784,0.01890016915137922,8500
1,1.0,3,40.7177,-73.9984,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.4072723083513778,0.0013281049673408412,-0.5064045341880354,4595
1,1.0,0,40.7395,-73.9812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6853198789537325,-0.023180460331002174,0.05105169776325758,2300
0,1.0,0,40.7076,-74.011,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.5294428799696613,-0.030461733776561205,0.5910460396191003,2819
2,1.0,0,40.7399,-74.0036,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.7060801164572397,0.005497388939236419,-0.20907165482388257,2300
1,2.0,4,40.7369,-73.979,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3.0716798146339843,-0.0861852635002514,1.1124927083284175,4900
0,1.0,2,40.7661,-73.9461,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0.9113518654859325,-0.08476112568486066,1.489295972266558,3100
2,1.0,0,40.7645,-73.9266,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.448045797867914,0.019138589493298736,0.8536190252982858,1925
1,1.0,1,40.7418,-73.982,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2219617947627883,-0.09970953921256968,1.1963585094221207,2995
0,1.0,0,40.7018,-73.9868,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6752499207377722,0.038543659506392096,0.2153174935744529,3000
2,1.0,3,40.6862,-73.9226,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.5771674436599037,0.028407782937169026,-0.10258091061752032,2699
0,1.0,3,40.8015,-73.9668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.3497564315753945,0.005322558590645444,-0.4257694592989199,4600
2,1.0,2,40.7419,-73.9804,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7811823191053487,-0.08578521964032851,1.2022358530295232,3475
2,1.0,2,40.7264,-74.0013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07643238254022285,0.012297417018435092,-1.00720846484259,3289
2,1.0,0,40.8788,-73.9144,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.0881416155245627,-0.1011602386738981,1.437657422520816,1500
0,1.0,1,40.7637,-73.9938,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6979465408693648,0.003584979772716557,0.25702889830602266,3100
0,1.0,0,40.7609,-73.9941,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.6476225641015896,-0.0031034415372799733,0.14930995907579775,2245
1,1.0,0,40.7466,-73.9779,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.125217898566452,-0.11175061424925686,1.5082436851519816,2495
1,1.0,1,40.7575,-73.9299,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9328762783999954,0.10797225458843339,-0.7961265795881575,1700
1,2.0,3,40.7436,-73.9727,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.9583571996466917,-0.09488628950070707,0.9969925200871225,4500
