"interest_level","price","no.fee","hardwood","dishwasher","X1","longitude","bathrooms","bedrooms","latitude","balcony","cats.allowed","common.outdoor.space","dining.room","dogs.allowed","doorman","elevator","exclusive","fitness.center","furnished","garage","garden.patio","high.ceilings","high.speed.internet","laundry.in.building","laundry.in.unit","laundry.room","live.in.super","loft","lowrise","new.construction","outdoor.space","parking.space","pre.war","private.outdoor.space","reduced.fee","renovated","roof.deck","simplex","X0","X2"
1,0.0028713004815954,0,1,1,0.00419643622498317,0.374281100185168,1,2,0.991359755444571,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.267268003570511,-0.57177956030904
0,0.00122247793231562,0,1,1,-0.100370313479185,0.374455276441393,1,0,0.992014466933419,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.24297688673857,1.39023449999834
0,0.00222308264559886,1,1,1,-0.0909324063571164,0.374268417448064,1,1,0.990768324620073,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.206069743065652,1.30581596873929
1,0.00121812747704047,0,0,0,0.046265838789408,0.374960049378123,1,1,0.992206742798174,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.783380676741692,-0.188172302883965
0,0.00983637937710181,0,1,1,-0.0580527454037391,0.374717386341538,3,3,0.992523146119922,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.29296661828978,1.20786725016287
1,0.00133123931419423,0,1,0,-0.0569718534317658,0.374348741449721,1,0,0.991659121664379,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37974062328799,1.23859692623035
2,0.00265290762678314,1,0,0,-0.00175144679390404,0.374516999095298,1,1,0.991410866750392,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.540776086904708,0.520245369023968
1,0.00148350524882429,0,0,1,0.0886377607093996,0.374679338130226,1,3,0.989081651527985,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21839754740169,-0.401652800383781
0,0.00294090776599771,0,1,1,-0.00554353521872806,0.374498397747546,1.5,2,0.992413621893163,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.485692012856151,-0.376039723677569
2,0.00252761451485898,1,1,1,-0.0720606002095965,0.374551665243382,1,3,0.99190494270666,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61637218477697,0.454932664437557
0,0.00182719121556071,0,0,0,-0.00115747505534444,0.374485715010442,1,0,0.99172727007214,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-1.58636259793223,0.5697501989695
0,0.0018750462235873,0,0,0,0.108844306768485,0.37452207219014,1,2,0.989957845342056,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0152818799170512,-1.13718194501965
0,0.00147915479354914,0,0,0,0.0328855664577063,0.374573648654362,1,1,0.992851718800199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.948117777959601,-0.956708693279518
1,0.00139214568804625,0,0,0,0.0743944158323153,0.374478950883987,1,2,0.991917112065189,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0156717851767494,-1.13953393330849
0,0.00244060540935609,0,1,0,0.0268845896170525,0.374415537198468,1,2,0.991079860198409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709015794589107,-1.00955930781183
0,0.00243625495408094,0,1,1,-0.0401638414874157,0.37447810536818,1,1,0.991544729694208,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.391686894552256,0.63411839570866
0,0.00617677639965022,0,1,1,-0.00800296828153738,0.374460349536235,2,5,0.991362189316277,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.49499601852221,-0.80628764012324
0,0.0019142003210636,1,1,1,-0.0761723132997926,0.37450262532658,1,2,0.991673724894613,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687883339743908,0.708696834515852
1,0.0013964961433214,0,0,0,0.0335870838587659,0.374738524236711,1,0,0.992528013863333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.67325986750904,0.110726839701574
1,0.00211519135477528,1,1,1,-0.0696904661435393,0.374350432481335,1,2,0.9919219798086,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0.766901299413069,0.558528055922695
0,0.00239710085660464,1,1,1,-0.135551521489895,0.37436565176586,1,2,0.991919545936895,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.933531893114565,1.54863869818249
0,0.00152700980157574,0,1,1,-0.0453321637715524,0.374268417448064,1,2,0.990799964952247,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384613068028235,0.0430325273416021
0,0.00226658719835031,1,1,1,-0.127536017244304,0.374336904228425,1,1,0.992075313726063,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0963898897183641,1.91283447150743
0,0.00853124279455845,0,0,0,0.034964721519879,0.374452739893972,2,3,0.992211610541585,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3509636079377,-0.379829931136214
1,0.00217870800179239,0,1,1,0.0136714933496025,0.374730914594448,1,2,0.992513410633099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232512422598347,-0.709439056810298
2,0.00339770556988789,0,0,1,0.00405213580916096,0.374294628438079,2,2,0.991717534585317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.443065297326501,-0.841250680972349
0,0.0023535963038532,1,0,0,-0.0365096499083804,0.374455276441393,1,2,0.99222621377182,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340475611522914,0.113956194155331
1,0.00174453256533296,1,1,1,-0.0648277889089171,0.374752052489621,1,1,0.992632670346681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.343861016862921,0.53292440005921
2,0.000830936957552608,0,0,0,0.102682632871214,0.374844213712575,1,0,0.990924092409241,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84023538948581,-0.463760038312447
0,0.00853124279455845,1,1,1,-0.0420894693091173,0.374325067007128,3,3,0.991094463428644,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.10263119023819,-0.0128905113014069
2,0.00423299298271564,0,0,0,-0.00962709128322927,0.374384253113612,2,2,0.992228647643525,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.499182616015528,-0.0848846300815556
0,0.00278429137609251,1,0,0,0.0551323469535591,0.374810393080299,2,4,0.99393479170926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13160084457828,-1.6784212223776
2,0.000870091055028909,1,1,0,-0.0929357710445321,0.374205003762545,1,0,0.992766533290497,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41060473095364,0.814005226221593
1,0.00178803711808441,0,0,0,0.115995235576116,0.375021772032028,1,3,0.992552352580391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857238826511947,-1.60771516486968
0,0.00104845972130984,1,0,0,0.037106503623534,0.374827303396437,1,2,0.993667065821626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841208037867571,-1.01973301622334
1,0.00167927573620579,1,1,1,-0.00804014040423104,0.374749515942201,1,2,0.992326002511756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367303870211246,-0.450420121763483
2,0.00100495516855839,0,0,0,0.0490933203129246,0.375175655908887,1,2,0.99501786461832,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0825378248963862,-0.707756091685912
1,0.00113111837153758,0,1,1,-0.0245522112718266,0.374378334502963,1,0,0.990544408423143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.5723540216057,-0.0554354522231359
1,0.00107021199768556,0,1,0,0.0253256123881593,0.374757125584463,1,0,0.992472034814101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.74441135240559,-0.253371236880794
0,0.00220133036922314,1,1,1,-0.0423661728683662,0.37473598768929,1,1,0.992328436383461,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.277897418747283,0.886270755161992
2,0.0013964961433214,0,1,1,-0.0772315633699354,0.374569421075327,1,0,0.991827058812076,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32890450253629,1.09728229659294
0,0.00234924584857805,0,0,0,-0.0319869459367995,0.374413846166854,1,0,0.991561766796149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.61802856172723,0.327489283784594
1,0.00348471467539078,1,0,1,-0.0188526474754657,0.374460349536235,2,4,0.991362189316277,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.75082667140529,0.362211965329757
0,0.00170102801258152,0,0,0,0.0473163329254177,0.374317457364865,1,1,0.990135517976577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.957910980879969,-0.946096485688641
0,0.00197075623964048,0,0,0,-0.0563597611841763,0.374222759594491,1,0,0.990753721389838,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,-1.46345600032627,0.953814975620835
0,0.00252761451485898,0,0,0,0.0069168517760481,0.37452207219014,1,2,0.991586105513206,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.20789410203997,-0.129589454523013
1,0.00435480573041969,1,1,1,-0.0787314559720727,0.374582103812431,2,3,0.992788438135849,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.04624593610565,0.967320144398791
1,0.00295830958709829,1,0,0,-0.0117069050962287,0.374221914078684,1,3,0.990734250416192,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45819534628675,0.387544073405585
2,0.00113546882681273,0,0,0,0.18384335375104,0.375261053005386,1,3,0.990593085857258,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870085334806661,-1.53066005644196
1,0.00470284215243125,1,1,1,-0.0935562582783284,0.374336904228425,2,4,0.992075313726063,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.10289273039316,0.975485733313037
2,0.0028713004815954,1,1,1,-0.0351029738489446,0.374347050418108,1,2,0.991128537632524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464841751162018,-0.313928081873524
2,0.000830066866497579,1,0,1,-0.0318123792782789,0.374757125584463,1,1,0.993761986818151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.591716569875311,-0.0135543480096722
1,0.00174453256533296,0,1,1,0.0148037347060169,0.374703858088627,1,2,0.99224325087376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232538158568058,-0.709313028860706
1,0.00145479224400834,0,0,0,-0.0522952685088739,0.374245588521277,1,0,0.990726948801075,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.5081652633367,0.910744733093172
0,0.00679106068450063,1,0,0,0.0200081410736808,0.374663273329895,2,2,0.992440394481926,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.607185175161544,0.0189001691513792
1,0.00339335511461274,1,1,1,0.00132810496734084,0.374331831133583,1,3,0.99101657953406,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.40727230835138,-0.506404534188035
1,0.0013964961433214,0,1,0,-0.0231804603310022,0.374477259852373,1,0,0.991547163565914,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.68531987895373,0.0510516977632576
0,0.0018480734008814,0,0,0,-0.0304617337765612,0.374225296141911,1,0,0.990770758491778,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.52944287996966,0.5910460396191
2,0.0013964961433214,1,0,0,0.00549738893923642,0.374287864311623,1,0,0.991556899052737,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.70608011645724,-0.209071654823883
1,0.00365873288639656,1,1,1,-0.0861852635002514,0.374495861200125,2,4,0.991483882901565,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.07167981463398,1.11249270832842
0,0.00209256898734453,1,1,1,-0.0847611256848607,0.374774035900601,1,2,0.992194573439645,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.911351865485932,1.48929597226656
2,0.00107021199768556,1,0,0,0.0191385894932987,0.37493891148295,1,0,0.992155631492353,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44804579786791,0.853619025298286
1,0.00200120942656649,0,1,1,-0.0997095392125697,0.374470495725918,1,1,0.991603142615146,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.221961794762788,1.19635850942212
0,0.00200555988184163,0,0,0,0.0385436595063921,0.374429910967186,1,0,0.990629593932845,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.67524992073777,0.215317493574453
2,0.00174366247427793,1,1,1,0.028407782937169,0.374972732115227,1,3,0.990249909946747,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5771674436599,-0.10258091061752
0,0.00339770556988789,1,1,0,0.00532255859064544,0.374599014128569,1,3,0.993056164023482,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.34975643157539,-0.42576945929892
2,0.00241885313298037,0,1,1,-0.0857852196403285,0.374484023978828,1,2,0.991605576486852,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.781182319105349,1.20223585302952
2,0.00225701619674499,0,1,0,0.0122974170184351,0.374307311175182,1,2,0.99122832637246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764323825402228,-1.00720846484259
2,0.000700423299298272,1,1,1,-0.101160238673898,0.375042064411394,1,0,0.99493754685203,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.08814161552456,1.43765742252082
0,0.00209256898734453,0,0,0,0.00358497977271656,0.374370724860701,1,1,0.992136160518707,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.697946540869365,0.257028898306023
0,0.00134864113529481,0,0,0,-0.00310344153727997,0.374368188313281,1,0,0.992068012110946,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.64762256410159,0.149309959075798
1,0.00156616389905204,0,1,1,-0.111750614249257,0.374505161874001,1,0,0.991719968457023,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.12521789856645,1.50824368515198
1,0.000874441510304053,0,0,0,0.107972254588433,0.374911009461322,1,1,0.99198526047295,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.932876278399995,-0.796126579588157
